Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,40442.4235,,,,,,,39170.3447,,,,,,
0010002,37125.6393,,,,,,,38312.0332,,,,,,
0010004,33933.8567,,,,,,,34203.446,,,,,,
