Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,118222.5226,,,,,,,116699.239,,,,,,
0010002,106415.4321,,,,,,,107064.5148,,,,,,
0010004,90817.0389,,,,,,,92601.6406,,,,,,
