Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,40901.4437,,,,,,,39964.6818,,,,,,
0010002,37653.1381,,,,,,,38473.2346,,,,,,
0010004,34569.9684,,,,,,,35078.7803,,,,,,
