Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,38490.9635612624,2788.25813847287,16139.6918233414,0,4351.64380195699,9694.65473436644,7927.19523647759,37576.80724708,2815.80989664135,15668.5281974983,0,4127.90788886373,9647.70384683305,7704.7319253498
0010002,35420.7541643491,2609.94152186882,14969.167505013,0,4152.2978397154,8150.51488875056,7771.21629884405,36182.1169767011,2787.35958505442,15238.2012892278,0,4720.08663970882,8860.84653059068,6866.74052701045
0010004,32179.6681696732,2602.63475003174,13381.6068263554,4.23189356035668,4121.36375150518,8328.89930066806,6131.23186826806,32486.2264201722,2827.03823256368,13355.3036924321,0,3827.61866060886,8394.93104682768,6673.88863501435
