Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,88281.2734120535,5541.02794477507,32342.9258384614,1993.16918039215,10134.2316183307,25249.8943772763,17082.0198450373,87919.8585550257,5235.32692507587,32170.6296004475,2005.61204149713,10140.3404353497,25830.3156619717,16309.1210364681
0010002,81072.4211249999,4352.66876932578,30117.2854250581,1995.36431657461,10662.8416599256,22142.37303671,15369.8359764024,80669.1912497087,5223.18303453188,30451.6492549924,1815.52397440086,10513.0025860618,22912.0674040305,13302.1064445955
0010004,65581.9388139612,4747.81210635411,22908.6586432256,1804.335407986,8936.93533554646,19439.5419376093,11360.828832507,66800.985613137,5012.74295443024,23483.1769002901,1755.38838280412,8371.13008512561,20143.5184879356,11808.4193991761
