Subjects,lh,lh-Corpus_Collosum,lh-Frontal,lh-Insula,lh-Occipital,lh-Parietal,lh-Temporal,rh,rh-Corpus_Collosum,rh-Frontal,rh-Insula,rh-Occipital,rh-Parietal,rh-Temporal
0010001,39576.5930118867,2790.89350452278,16587.1942082206,0,4563.28691818781,9896.10646576943,8178.0551948937,38622.2537483089,2839.94908820842,16076.6183272631,0,4329.1814114362,9864.17060009764,7949.75222037701
0010002,36516.1670249627,2621.17696418629,15429.9973619523,0,4319.14430844359,8376.05948653947,8029.93638183831,37261.6588931227,2816.40299496649,15679.5009608922,0,4910.86306005336,9095.18573661065,7095.3326345769
0010004,33227.2461219058,2620.84932081252,13831.1212135108,0.692487819564832,4311.0625731224,8519.46421223309,6357.80382684969,33476.8790155322,2863.24332761962,13783.8504189111,0,3998.34777213202,8600.54647515724,6904.21041987225
